year,hom,dwrh,diff,pop,pop100,rate,diff.rate
1931,8551, , ,16839399,168.39399,50.78, 
1932,9983, , ,17131041,171.31041,58.27, 
1933,7904, , ,17427734,174.27734,45.35, 
1934,7232, , ,17729565,177.29565,40.79, 
1935,8098, , ,18036623,180.36623,44.9, 
1936,11317, , ,18349000,183.49,61.68, 
1937,11266, , ,18666787,186.66787,60.35, 
1938,11468, , ,18990077,189.90077,60.39, 
1939,11445, , ,19318966,193.18966,59.24, 
1940,13175, , ,19653552,196.53552,67.04, 
1941,10434, , ,20194997,201.94997,51.67, 
1942,9459, , ,20751359,207.51359,45.58, 
1943,9809, , ,21323048,213.23048,46, 
1944,9896, , ,21910486,219.10486,45.17, 
1945,10815, , ,22514109,225.14109,48.04, 
1946,11592, , ,23134361,231.34361,50.11, 
1947,12124, , ,23771700,237.717,51, 
1948,12438, , ,24426598,244.26598,50.92, 
1949,12404, , ,25099538,250.99538,49.42, 
1950,12403, , ,25791017,257.91017,48.09, 
1951,11889, , ,26584772,265.84772,44.72, 
1952,11901, , ,27402955,274.02955,43.43, 
1953,10805, , ,28246320,282.4632,38.25, 
1954,10954, , ,29115640,291.1564,37.62, 
1955,10782, , ,30011715,300.11715,35.93, 
1956,10543, , ,30935367,309.35367,34.08, 
1957,10446, , ,31887447,318.87447,32.76, 
1958,10230, , ,32868827,328.68827,31.12, 
1959,11250, , ,33880412,338.80412,33.21, 
1960,11158, , ,34923129,349.23129,31.95, 
1961,10602, , ,36068599,360.68599,29.39, 
1962,9493, , ,37251640,372.5164,25.48, 
1963,8438, , ,38473484,384.73484,21.93, 
1964,8781, , ,39735405,397.35405,22.1, 
1965,8231, , ,41038716,410.38716,20.06, 
1966,8234, , ,42384775,423.84775,19.43, 
1967,8632, , ,43774985,437.74985,19.72, 
1968,8711, , ,45210794,452.10794,19.27, 
1969,4625, , ,46693697,466.93697,9.9, 
1970,8450, , ,48225238,482.25238,17.52, 
1971,7808, , ,49825885,498.25885,15.67, 
1972,7505, , ,51479660,514.7966,14.58, 
1973,7059, , ,53188325,531.88325,13.27, 
1974, , , ,54953703,549.53703,13.7, 
1975, , , ,56777675,567.77675,17.7, 
1976, , , ,58662188,586.62188,16.5, 
1977, , , ,60609249,606.09249,19, 
1978, , , ,62620935,626.20935,18, 
1979,11852, , ,64699391,646.99391,18.32, 
1980,12225, , ,66846833,668.46833,18.29, 
1981,12596, , ,68163974,681.63974,18.48, 
1982,13323, , ,69507067,695.07067,19.17, 
1983,12918, , ,70876625,708.76625,18.23, 
1984,12473, , ,72273168,722.73168,17.26, 
1985,14961, , ,73697228,736.97228,20.3, 
1986,15909, , ,75149348,751.49348,21.17, 
1987,15722, , ,76630080,766.3008,20.52, 
1988,15204, , ,78139989,781.39989,19.46, 
1989,15399, , ,79679648,796.79648,19.33, 
1990,14497, , ,81249645,812.49645,17.84, 
1991,15129, , ,82743216,827.43216,18.28, 
1992,16596, , ,84264243,842.64243,19.7, 
1993,16044, , ,85813230,858.1323,18.7, 
1994,15840, , ,87390691,873.90691,18.13, 
1995,15616, , ,88997149,889.97149,17.55, 
1996,14508, , ,90633139,906.33139,16.01, 
1997,13558, , ,92299202,922.99202,14.69, 
1998,13658, , ,93995892,939.95892,14.53, 
1999,12249, , ,95723770,957.2377,12.8, 
2000,10743, , ,97483412,974.83412,11.02, 
2001,10286, , ,98874528,988.74528,10.4, 
2002,10089, , ,100285496,1002.85496,10.06, 
2003,10088, , ,101716599,1017.16599,9.92, 
2004,9330, , ,103168124,1031.68124,9.04, 
2005,9926, , ,104640363,1046.40363,9.49,9.49
2006,10454,2119,8335,106133611,1061.33611,9.85,7.85
2007,8868,2595,6273,107648168,1076.48168,8.24,5.83
2008,14007,6183,7824,109184339,1091.84339,12.83,7.17
2009,19804,8906,10898,110742431,1107.42431,17.88,9.84
2010,25757,13174,12583,112322757,1123.22757,22.93,11.2
2011,27199,13600,13599,112322757,1123.22757,24.22,12.11
