"year","age","males","females","na","total","yobirth","pop","per","agegroup","rate","smooth","group"
1985,0,60,31,1,92,1985,1876505.98017914,0.0262109083448412,"0",4.90272884668437,2.0030893419226,"80-89"
1985,1,34,19,NA,53,1984,1916614.82952358,0.0267711460339766,"1-4",2.76529217991986,3.79487005495374,"80-89"
1985,10,23,6,2,31,1975,2049432.52474883,0.0286263345987312,"10-14",1.51261383947243,5.58711179208732,"70-79"
1985,11,21,7,NA,28,1974,2025705.1006147,0.0282949115466291,"10-14",1.38223475823324,7.38012681216255,"70-79"
1985,12,40,5,NA,45,1973,1994815.838697,0.0278634524297828,"10-14",2.25584733823819,9.17324553687063,"70-79"
1985,13,42,15,2,59,1972,1956549.34791166,0.0273289486801293,"10-14",3.01551300318461,10.9652966552414,"70-79"
1985,14,59,8,1,68,1971,1910892.0260372,0.0266912103027604,"10-14",3.55854747800785,12.7537403179786,"70-79"
1985,15,90,25,2,117,1970,1858014.88769802,0.0259526260183589,"15-19",6.29704319242332,14.534278737766,"70-79"
1985,16,148,26,NA,174,1969,1798474.29114229,0.0251209670012262,"15-19",9.67486723924672,16.3018397351088,"60-69"
1985,17,234,19,2,255,1968,1732918.50714281,0.0242052882535781,"15-19",14.7150601109591,18.0495677742378,"60-69"
1985,18,396,35,3,434,1967,1662221.41209233,0.0232177960216387,"15-19",26.1096383937024,19.7694265632203,"60-69"
1985,19,359,23,1,383,1966,1588225.65558313,0.0221842283100215,"15-19",24.1149611614465,21.4533055782934,"60-69"
1985,2,24,21,NA,45,1983,1955789.02629517,0.0273183285593233,"1-4",2.30086166733654,23.0936003816423,"80-89"
1985,20,485,38,2,525,1965,1513007.39475866,0.0211335847409878,"20-24",34.6991033764077,24.6825255828072,"60-69"
1985,21,328,27,1,356,1964,1438603.62038609,0.0200943178635098,"20-24",24.7462188302054,26.2107984710357,"60-69"
1985,22,525,42,12,579,1963,1366717.26552721,0.0190902141311725,"20-24",42.3642851820309,27.6688745399402,"60-69"
1985,23,435,30,4,469,1962,1297764.97389023,0.0181270931950532,"20-24",36.1390551783894,29.0481702523254,"60-69"
1985,24,487,32,2,521,1961,1231882.2234394,0.017206847402174,"20-24",42.2930041595513,30.34218629983,"60-69"
1985,25,556,41,11,608,1960,1169247.41805977,0.0163319686859091,"25-29",51.9992595757794,31.5453454391109,"60-69"
1985,26,436,24,NA,460,1959,1110174.38251554,0.0155068405292946,"25-29",41.4349319570578,32.6545006545064,"50-59"
1985,27,392,27,1,420,1958,1055036.36265308,0.0147366764050145,"25-29",39.8090544428092,33.6697708119416,"50-59"
1985,28,462,26,12,500,1957,1004068.36087978,0.0140247588107673,"25-29",49.7974061807796,34.5922855483603,"50-59"
1985,29,270,18,2,290,1956,956925.135593798,0.0133662654352582,"25-29",30.3054010405994,35.4250240189624,"50-59"
1985,3,18,12,1,31,1982,1992108.32268598,0.0278256340296517,"1-4",1.5561402784665,36.1729914114639,"80-89"
1985,30,492,33,7,532,1955,913155.035530484,0.0127548876442349,"30-34",58.2595484118359,36.8384597984572,"50-59"
1985,31,222,9,NA,231,1954,872564.542345911,0.0121879223865855,"30-34",26.4736863337296,37.4226733188133,"50-59"
1985,32,351,37,2,390,1953,835412.899286686,0.0116689907544078,"30-34",46.6835022936562,37.926292402759,"50-59"
1985,33,250,11,2,263,1952,801892.076115914,0.0112007741683414,"30-34",32.7974309552827,38.3504050431993,"50-59"
1985,34,255,10,4,269,1951,771510.838411654,0.0107764110992756,"30-34",34.866652107416,38.6960147352007,"50-59"
1985,35,472,37,11,520,1950,743540.280546485,0.0103857202428105,"35-39",69.9356865532305,38.9636590498896,"50-59"
